Table,Description,Fields,Example_Questions,Usage_Tips,Multi_Table_Questions,Related_Tables,Join_Conditions
Affiliated_With,"记录医生与科室的隶属关系","Physician, Department, PrimaryAffiliation","同时属于外科和普通内科的医生占比是多少|找出所有在精神病科有次要隶属关系的医生|跨科室医生比例分析","用于医生科室交叉分析，注意PrimaryAffiliation标记区分主次科室","同时属于外科和普通内科的医生占比是多少？|若基思·杜德米斯特新增为双科室医生，重新计算跨科室医生比例|找出所有在精神病科有次要隶属关系的医生","Physician,Department","Affiliated_With.Physician = Physician.EmployeeID; Affiliated_With.Department = Department.DepartmentID"
Appointment,"存储门诊预约信息","AppointmentID, Patient, PrepNurse, Physician, Start, End, ExaminationRoom","预约ID为13216584的实际持续分钟数|预约次数最多的比最少的差多少|医生接诊次数极差是多少","用于预约时长计算、医生工作量比较，关键字段：Start/End时间需用strftime处理","预约ID为13216584的实际持续分钟数（考虑延长半小时场景）|预约次数最多的医生的预约次数是预约次数最少的医生的多少倍？|各诊室的使用频率分析","Patient,Nurse,Physician,Room","Appointment.Patient = Patient.SSN; Appointment.PrepNurse = Nurse.EmployeeID; Appointment.Physician = Physician.EmployeeID; Appointment.ExaminationRoom = Room.RoomNumber"
Block,"定义医院楼层区块结构","BlockFloor, BlockCode","顶层可用房间比底层多多少|各区块的房间类型分布|楼层容量分析","用于医院物理空间分析，BlockFloor/BlockCode构成复合主键","顶层可用房间比底层多多少？|假设顶层有20个可用房间，重新计算楼层间差异|各区块的房间类型分布","Room,On_Call","Block.BlockFloor = Room.BlockFloor AND Block.BlockCode = Room.BlockCode; Block.BlockFloor = On_Call.BlockFloor AND Block.BlockCode = On_Call.BlockCode"
Department,"记录医院科室信息","DepartmentID, Name, Head","外科部门的医生平均资质年限|精神病科与普通内科的预算差异|科室主任的专长手术类型","用于科室级统计，通过Head字段关联Physician表获取主任信息","外科部门的医生平均资质年限|精神病科与普通内科的预算差异（需关联其他表）|科室主任的专长手术类型","Physician,Affiliated_With","Department.Head = Physician.EmployeeID; Department.DepartmentID = Affiliated_With.Department"
Medication,"药品主数据","Code, Name, Brand, Description","使用Foo Labs品牌的患者比Baz Industries多多少|品牌市场占有率分析|药品使用统计","用于药品使用统计或品牌比较，关键字段Brand用于区分药企","使用了Foo Labs品牌的药的病人比使用了Baz Industries品牌的药的病人多多少？|若Procrastin-X禁用，受影响患者比例是多少？|品牌市场占有率分析","Prescribes","Medication.Code = Prescribes.Medication"
Nurse,"护士信息表","EmployeeID, Name, Position, Registered, SSN","参与手术的注册护士占比|头号护士协助的手术平均费用|各职位护士的排班频率","用于护理人力分析，Registered字段区分资质","参与手术的注册护士占比|头号护士协助的手术平均费用|各职位护士的排班频率","Appointment,Undergoes,On_Call","Nurse.EmployeeID = Appointment.PrepNurse; Nurse.EmployeeID = Undergoes.AssistingNurse; Nurse.EmployeeID = On_Call.Nurse"
On_Call,"护士值班安排表","Nurse, BlockFloor, BlockCode, OnCallStart, OnCallEnd","1楼1区在夜班时段的值班护士数量|各护士的月值班总时长|区块间的值班人力均衡性","用于护理排班分析，需注意OnCallStart/OnCallEnd的时间计算","1楼1区在夜班时段的值班护士数量|各护士的月值班总时长（小时）|区块间的值班人力均衡性","Nurse,Block","On_Call.Nurse = Nurse.EmployeeID; On_Call.BlockFloor = Block.BlockFloor AND On_Call.BlockCode = Block.BlockCode"
Patient,"患者主信息表","SSN, Name, Address, Phone, InsuranceID, PCP","约翰·史密斯的住院天数|未使用Procrastin-X药物的患者特征分析|各保险类型的患者费用差异","用于患者画像分析，PCP字段关联主治医生，SSN是核心关联键","约翰·史密斯住了几天院？|未使用Procrastin-X药物的患者特征分析|各保险类型的患者费用差异","Physician,Appointment,Stay,Prescribes,Undergoes","Patient.PCP = Physician.EmployeeID; Patient.SSN = Appointment.Patient; Patient.SSN = Stay.Patient; Patient.SSN = Prescribes.Patient; Patient.SSN = Undergoes.Patient"
Physician,"医生信息表","EmployeeID, Name, Position, SSN","John Wen医生的资质有效期|培训费用最高的医生|各职位医生的手术成功率","用于医生资质或绩效分析，Position字段区分职级","John Wen医生的资质有效期（考虑延长180天场景）|培训费用最高的医生（假设每次培训50英镑）|各职位医生的手术成功率","Patient,Appointment,Department,Affiliated_With,Trained_In,Undergoes","Physician.EmployeeID = Patient.PCP; Physician.EmployeeID = Appointment.Physician; Physician.EmployeeID = Department.Head; Physician.EmployeeID = Affiliated_With.Physician; Physician.EmployeeID = Trained_In.Physician; Physician.EmployeeID = Undergoes.Physician"
Prescribes,"处方记录表","Physician, Patient, Medication, Date, Appointment, Dose","Dennis Doe在药物上总共花了多少钱|各医生的处方习惯分析|药物剂量统计","用于处方分析和药物使用统计","所有药物每剂2美元。Dennis Doe在药物和治疗上总共花了多少钱？|假如丹尼斯·多伊多买了10剂Thesisin，他在药物上总共花了多少钱？|各医生的处方习惯分析","Physician,Patient,Medication,Appointment","Prescribes.Physician = Physician.EmployeeID; Prescribes.Patient = Patient.SSN; Prescribes.Medication = Medication.Code; Prescribes.Appointment = Appointment.AppointmentID"
